ts,db,c1_idx,c1_cf,c1_name,c2_idx,c2_cf,c2_name,c3_idx,c3_cf,c3_name
1746657591.142853,-34.3,0,87.7,Speech,500,0.6,"Inside, small room",378,0.5,Typing
1746657594.1332512,-38.0,0,99.7,Speech,3,0.3,"Narration, monologue",500,0.3,"Inside, small room"
1746657597.122265,-37.2,0,94.3,Speech,132,2.4,Music,500,0.4,"Inside, small room"
1746657600.1056058,-30.2,0,99.9,Speech,3,0.5,"Narration, monologue",500,0.2,"Inside, small room"
1746657603.096087,-37.0,0,99.8,Speech,3,0.6,"Narration, monologue",500,0.3,"Inside, small room"
1746657606.161265,-31.7,0,99.6,Speech,3,0.8,"Narration, monologue",2,0.3,Conversation
1746657609.152986,-32.1,0,99.7,Speech,500,1.9,"Inside, small room",3,0.7,"Narration, monologue"
1746657612.143444,-39.5,0,99.9,Speech,500,2.6,"Inside, small room",3,0.4,"Narration, monologue"
1746657615.1313012,-37.2,0,96.2,Speech,500,5.2,"Inside, small room",381,4.5,Writing
1746657618.114801,-37.6,0,99.8,Speech,500,2.0,"Inside, small room",3,0.4,"Narration, monologue"
1746657630.139746,-39.8,0,78.4,Speech,500,5.5,"Inside, small room",48,2.3,"Walk, footsteps"
1746657633.136302,-39.3,0,76.1,Speech,348,3.3,Door,501,3.0,"Inside, large room or hall"
1746657636.12353,-44.2,0,97.6,Speech,3,1.6,"Narration, monologue",500,1.0,"Inside, small room"
1746657639.106153,-44.1,0,87.1,Speech,3,1.7,"Narration, monologue",500,1.1,"Inside, small room"
1746657642.093337,-41.5,0,59.7,Speech,3,0.9,"Narration, monologue",501,0.9,"Inside, large room or hall"
1746657645.164754,-34.0,0,98.2,Speech,500,2.4,"Inside, small room",3,1.5,"Narration, monologue"
1746657648.14518,-39.1,0,98.1,Speech,3,5.2,"Narration, monologue",501,0.3,"Inside, large room or hall"
1746657651.138836,-30.9,0,99.9,Speech,500,0.7,"Inside, small room",3,0.0,"Narration, monologue"
1746657654.12842,-33.2,0,99.2,Speech,500,2.4,"Inside, small room",2,0.3,Conversation
1746657657.111618,-36.6,0,99.5,Speech,3,2.1,"Narration, monologue",500,0.9,"Inside, small room"
1746657660.091736,-29.5,0,100.0,Speech,3,0.1,"Narration, monologue",500,0.1,"Inside, small room"
1746657663.07823,-42.9,0,98.4,Speech,500,1.6,"Inside, small room",378,0.5,Typing
1746657666.161416,-34.7,0,99.8,Speech,500,0.4,"Inside, small room",3,0.1,"Narration, monologue"
1746657669.146626,-32.1,0,99.9,Speech,500,1.0,"Inside, small room",3,0.0,"Narration, monologue"
1746657672.134065,-35.0,0,99.6,Speech,500,0.8,"Inside, small room",3,0.1,"Narration, monologue"
1746657675.117467,-35.2,0,99.9,Speech,3,1.2,"Narration, monologue",500,0.1,"Inside, small room"
1746657678.1051662,-31.8,0,100.0,Speech,500,0.2,"Inside, small room",3,0.0,"Narration, monologue"
1746657681.083843,-36.8,0,99.5,Speech,3,1.8,"Narration, monologue",500,0.9,"Inside, small room"
1746657684.155848,-33.6,0,99.5,Speech,500,0.4,"Inside, small room",3,0.1,"Narration, monologue"
1746657687.147378,-33.6,0,99.1,Speech,500,0.3,"Inside, small room",3,0.2,"Narration, monologue"
1746657690.137103,-35.4,0,99.9,Speech,3,0.3,"Narration, monologue",500,0.2,"Inside, small room"
1746657693.123405,-31.7,0,99.1,Speech,3,1.5,"Narration, monologue",500,1.2,"Inside, small room"
1746657696.110461,-31.2,0,99.8,Speech,3,0.6,"Narration, monologue",500,0.3,"Inside, small room"
1746657699.09615,-38.6,0,98.8,Speech,500,2.7,"Inside, small room",3,0.3,"Narration, monologue"
1746657702.166212,-38.3,0,98.9,Speech,3,0.6,"Narration, monologue",500,0.2,"Inside, small room"
1746657705.156608,-36.2,0,98.7,Speech,2,2.4,Conversation,3,1.8,"Narration, monologue"
1746657708.1399639,-45.7,0,92.2,Speech,3,1.7,"Narration, monologue",494,0.8,Silence
1746657711.121883,-39.2,0,99.9,Speech,3,1.3,"Narration, monologue",500,0.7,"Inside, small room"
1746657714.11416,-43.6,0,96.3,Speech,3,4.5,"Narration, monologue",501,0.3,"Inside, large room or hall"
1746657717.10129,-39.5,0,99.8,Speech,3,2.1,"Narration, monologue",500,0.2,"Inside, small room"
1746657720.0890298,-35.9,0,98.8,Speech,3,11.0,"Narration, monologue",501,0.5,"Inside, large room or hall"
1746657723.1529841,-44.6,0,95.6,Speech,3,4.3,"Narration, monologue",2,0.3,Conversation
1746657726.146533,-42.7,0,99.0,Speech,500,0.8,"Inside, small room",3,0.6,"Narration, monologue"
1746657729.13306,-46.1,0,44.9,Speech,494,11.8,Silence,3,2.5,"Narration, monologue"
1746657732.121557,-41.9,0,99.8,Speech,3,3.1,"Narration, monologue",500,1.3,"Inside, small room"
1746657735.106139,-34.3,0,99.7,Speech,3,1.8,"Narration, monologue",500,1.2,"Inside, small room"
1746657738.093638,-40.2,0,96.5,Speech,3,2.6,"Narration, monologue",500,1.2,"Inside, small room"
1746657741.158201,-42.8,0,45.6,Speech,132,41.8,Music,500,1.2,"Inside, small room"
1746657744.1491451,-37.3,0,99.0,Speech,3,0.3,"Narration, monologue",500,0.2,"Inside, small room"
1746657747.1396742,-37.3,0,99.9,Speech,3,0.5,"Narration, monologue",500,0.4,"Inside, small room"
1746657750.127614,-36.2,0,98.5,Speech,500,1.6,"Inside, small room",2,1.2,Conversation
1746657753.106304,-39.2,0,97.6,Speech,500,4.1,"Inside, small room",501,0.5,"Inside, large room or hall"
1746657756.095928,-36.3,0,97.3,Speech,500,1.9,"Inside, small room",378,0.9,Typing
1746657759.086561,-36.5,0,99.4,Speech,500,2.8,"Inside, small room",2,1.3,Conversation
1746657762.154851,-37.1,0,99.8,Speech,3,0.6,"Narration, monologue",500,0.1,"Inside, small room"
1746657765.143808,-41.9,0,96.9,Speech,500,5.3,"Inside, small room",501,1.7,"Inside, large room or hall"
1746657768.1311119,-34.6,0,92.2,Speech,500,2.7,"Inside, small room",132,2.6,Music
1746671073.23423,-200.0,494,100.0,Silence,0,0.0,Speech,132,0.0,Music
